Nickname ,Player 1,Player 2,Player 3,Player 4,Player 5,1st Tiebreaker,2nd Tiebreaker
"""Johnny Come Lately""","Johnson, Zach","Rose, Justin","Mickelson, Phil","McIlroy, Rory","Garcia, Sergio","Day, Jason",280
5 Winners,"Scott, Adam","Day, Jason","Spieth, Jordan","McIlroy, Rory","Watson, Bubba","Fowler, Rickie",278
AFish,"Day, Jason","McIlroy, Rory","Spieth, Jordan","Kisner, Kevin","Watson, Bubba","Dufner, Jason",280
AFish1,"Day, Jason","Dufner, Jason","McIlroy, Rory","Spieth, Jordan","Stenson, Henrik","Watson, Bubba",279
ALLIEDWIRE1,"Day, Jason","Watson, Bubba","Fowler, Rickie","Scott, Adam","Matsuyama, Hideki","Spieth, Jordan",279
ALLIEDWIRE2,"Spieth, Jordan","Day, Jason","Watson, Bubba","Rose, Justin","Mickelson, Phil","Fowler, Rickie",277
Ambernic,"Day, Jason","Spieth, Jordan","McIlroy, Rory","Scott, Adam","Watson, Bubba","Rose, Justin",277
AMP,"Day, Jason","Fowler, Rickie","Johnson, Dustin","McIlroy, Rory","Watson, Bubba","Spieth, Jordan",272
Andy,"Stenson, Henrik","McIlroy, Rory","Oosthuizen, Louis","Scott, Adam","Els, Ernie","Day, Jason",280
Anna Banana,"Spieth, Jordan","Day, Jason","Garcia, Sergio","Scott, Adam","Rose, Justin","Watson, Bubba",280
BacNaz,"Scott, Adam","Fowler, Rickie","Spieth, Jordan","McIlroy, Rory","Johnson, Dustin","Mickelson, Phil",279
Baller,"Scott, Adam","Spieth, Jordan","Watson, Bubba","Leishman, Marc","Day, Jason","Mickelson, Phil",273
BdgrGlfr,"Day, Jason","Johnson, Zach","McIlroy, Rory","Spieth, Jordan","Scott, Adam","Watson, Bubba",276
Beth's Winners,"Cabrera-Bello, Rafael","Spieth, Jordan","Stenson, Henrik","Watson, Bubba","Johnson, Dustin","Johnson, Zach",274
Big Daddy,"Watson, Bubba","McIlroy, Rory","Day, Jason","Spieth, Jordan","Scott, Adam","Johnson, Dustin",277
Big Delicious ,"McIlroy, Rory","Scott, Adam","Johnson, Dustin","Fowler, Rickie","Day, Jason","Spieth, Jordan",279
Big Shooter,"Koepka, Brooks","Scott, Adam","Day, Jason","Willett, Danny","Watson, Bubba","Fowler, Rickie",274
billymo1,"Day, Jason","Watson, Bubba","Scott, Adam","Spieth, Jordan","Mickelson, Phil","McIlroy, Rory",274
billymo2,"McIlroy, Rory","Oosthuizen, Louis","Cabrera-Bello, Rafael","Reed, Patrick","Johnson, Dustin","Spieth, Jordan",272
billymo3,"Johnson, Zach","Matsuyama, Hideki","Kirk, Chris","Day, Jason","Spieth, Jordan","Scott, Adam",274
Biscuit Boys,"Scott, Adam","Fowler, Rickie","Watson, Bubba","Stenson, Henrik","Schwartzel, Charl","Mickelson, Phil",272
BOBBY J,"Day, Jason","Spieth, Jordan","Scott, Adam","Fowler, Rickie","Stenson, Henrik","Johnson, Dustin",274
Boom Boom,"Watson, Bubba","Oosthuizen, Louis","McIlroy, Rory","Day, Jason","Johnson, Dustin","Scott, Adam",275
Boomer,"Watson, Bubba","Day, Jason","Spieth, Jordan","Stenson, Henrik","Scott, Adam","Mickelson, Phil",279
bptacek,"Watson, Bubba","Oosthuizen, Louis","Day, Jason","Rose, Justin","Spieth, Jordan","Fowler, Rickie",271
Breeze34 #1,"Day, Jason","McIlroy, Rory","Spieth, Jordan","Johnson, Dustin","Mickelson, Phil","Kuchar, Matt",276
Breeze34 #2,"Day, Jason","McIlroy, Rory","Spieth, Jordan","Stenson, Henrik","Johnson, Dustin","Scott, Adam",276
Broome,"Fowler, Rickie","Day, Jason","Johnson, Dustin","Walker, Jimmy","Stenson, Henrik","Cabrera, Angel",280
Brown-Ripple,"Spieth, Jordan","Day, Jason","Fowler, Rickie","Watson, Bubba","Johnson, Dustin","McIlroy, Rory",276
BRUCE,"Day, Jason","Johnson, Dustin","McIlroy, Rory","Watson, Bubba","Fowler, Rickie","Holmes, J.B.",279
Butchie Boy,"Day, Jason","McIlroy, Rory","Mickelson, Phil","Spieth, Jordan","Watson, Bubba","Kuchar, Matt",275
cachee,"Day, Jason","Spieth, Jordan","Scott, Adam","Schwartzel, Charl","Stenson, Henrik","McIlroy, Rory",275
cardboy,"Fowler, Rickie","Kuchar, Matt","Mickelson, Phil","Rose, Justin","Scott, Adam","Day, Jason",275
CeeDee,"Spieth, Jordan","Mickelson, Phil","McIlroy, Rory","Rose, Justin","Day, Jason","Watson, Bubba",279
ChaseG,"Day, Jason","McIlroy, Rory","Fowler, Rickie","Mickelson, Phil","Scott, Adam","Rose, Justin",278
chefpatty,"Day, Jason","Walker, Jimmy","Watson, Bubba","Scott, Adam","Spieth, Jordan","Mickelson, Phil",274
Chip,"Day, Jason","Fowler, Rickie","McIlroy, Rory","Reed, Patrick","Scott, Adam","Rose, Justin",276
ChrisH,"Day, Jason","Watson, Bubba","Spieth, Jordan","Johnson, Dustin","Scott, Adam","McIlroy, Rory",282
Chuck47,"Spieth, Jordan","McIlroy, Rory","Watson, Bubba","Johnson, Dustin","Matsuyama, Hideki","Day, Jason",279
Coach Cox,"Day, Jason","Scott, Adam","Spieth, Jordan","McIlroy, Rory","Watson, Bubba","Fowler, Rickie",274
Coachwad,"McIlroy, Rory","Rose, Justin","Johnson, Dustin","Mickelson, Phil","Stenson, Henrik","Scott, Adam",295
Connor's Champs,"Mickelson, Phil","Day, Jason","Fowler, Rickie","McIlroy, Rory","Koepka, Brooks","Cabrera-Bello, Rafael",276
Cramer,"Day, Jason","Cabrera, Angel","Koepka, Brooks","Watson, Bubba","McIlroy, Rory","Mickelson, Phil",274
D&E,"Watson, Bubba","McIlroy, Rory","Day, Jason","Stenson, Henrik","Johnson, Dustin","Scott, Adam",277
Dick,"Oosthuizen, Louis","Day, Jason","Stenson, Henrik","Cabrera-Bello, Rafael","Casey, Paul","Matsuyama, Hideki",280
Doonie,"Day, Jason","Fowler, Rickie","Johnson, Dustin","Watson, Bubba","Oosthuizen, Louis","Na, Kevin",273
Dragoy,"Mickelson, Phil","Watson, Bubba","Scott, Adam","Matsuyama, Hideki","Fowler, Rickie","Spieth, Jordan",280
Drewski,"Johnson, Dustin","Spieth, Jordan","Stenson, Henrik","Watson, Bubba","Oosthuizen, Louis","Mickelson, Phil",280
Duhawk81,"Spieth, Jordan","Watson, Bubba","Fowler, Rickie","Johnson, Dustin","Reed, Patrick","Johnson, Zach",277
DZ,"Day, Jason","Johnson, Dustin","Stenson, Henrik","Spieth, Jordan","Fowler, Rickie","Watson, Bubba",278
East Coast,"Scott, Adam","Stenson, Henrik","Day, Jason","Fowler, Rickie","Johnson, Dustin","Schwartzel, Charl",280
Ed's Americans,"Fowler, Rickie","Johnson, Dustin","Mickelson, Phil","Spieth, Jordan","Watson, Bubba","Day, Jason",278
Ed's Ferners,"Day, Jason","McIlroy, Rory","Oosthuizen, Louis","Rose, Justin","Scott, Adam","Spieth, Jordan",278
FlashGordon's,"Johnson, Dustin","Rose, Justin","Scott, Adam","McIlroy, Rory","Fowler, Rickie","Day, Jason",276
Foley,"Fowler, Rickie","McIlroy, Rory","Day, Jason","Spieth, Jordan","DeChambeau, Bryson","Scott, Adam",274
Frodo,"Oosthuizen, Louis","Rose, Justin","Day, Jason","Fowler, Rickie","McIlroy, Rory","Mickelson, Phil",282
GHOST,"Day, Jason","Scott, Adam","Matsuyama, Hideki","Johnson, Zach","Johnson, Dustin","Mickelson, Phil",276
