Rank,Payout
1,1800000 
2,1080000 
3,680000 
4,480000 
5,400000 
6,360000 
7,335000 
8,310000 
9,290000 
10,270000 
11,247600 
12,229700 
13,213200 
14,197800 
15,183700 
16,170600 
17,158500 
18,147400 
19,137200 
20,127800 
21,119200 
22,111300 
23,104100 
24,97500 
25,91400 
26,85900 
27,80900 
28,76300 
29,72000 
30,68200 
31,64600 
32,61400 
33,58400 
34,55600 
35,53000 
36,50700 
37,48400 
38,46300 
39,44300 
40,42400 
41,40600 
42,38800 
43,37100 
44,35500 
45,33900 
46,32400 
47,30900 
48,29500 
49,28100 
50,26800 
51,25600 
52,24400 
53,23300 
54,22400 
55,21500 
56,20800 
57,20300 
58,19900 
59,19800 
60,19900 
