"EntryName","Player1","Player2","Player3","Player4","Player5","TieBreak1","TieBreak2"
"""Johnny Come Lately""","Zach Johnson","Justin Rose","Phil Mickelson","Rory McIlroy","Sergio Garcia","Jason Day",280
"5 Winners","Adam Scott","Jason Day","Jordan Spieth","Rory McIlroy","Bubba Watson","Rickie Fowler",278
"AFish","Jason Day","Rory McIlroy","Jordan Spieth","Kevin Kisner","Bubba Watson","Jason Dufner",280
"AFish1","Jason Day","Jason Dufner","Rory McIlroy","Jordan Spieth","Henrik Stenson","Bubba Watson",279
"ALLIEDWIRE1","Jason Day","Bubba Watson","Rickie Fowler","Adam Scott","Hideki Matsuyama","Jordan Spieth",279
"ALLIEDWIRE2","Jordan Spieth","Jason Day","Bubba Watson","Justin Rose","Phil Mickelson","Rickie Fowler",277
"Ambernic","Jason Day","Jordan Spieth","Rory McIlroy","Adam Scott","Bubba Watson","Justin Rose",277
"AMP","Jason Day","Rickie Fowler","Dustin Johnson","Rory McIlroy","Bubba Watson","Jordan Spieth",272
"Andy","Henrik Stenson","Rory McIlroy","Louis Oosthuizen","Adam Scott","Ernie Els","Jason Day",280
"Anna Banana","Jordan Spieth","Jason Day","Sergio Garcia","Adam Scott","Justin Rose","Bubba Watson",280
"BacNaz","Adam Scott","Rickie Fowler","Jordan Spieth","Rory McIlroy","Dustin Johnson","Phil Mickelson",279
"Baller","Adam Scott","Jordan Spieth","Bubba Watson","Marc Leishman","Jason Day","Phil Mickelson",273
"BdgrGlfr","Jason Day","Zach Johnson","Rory McIlroy","Jordan Spieth","Adam Scott","Bubba Watson",276
"Beth's Winners","Rafael Cabrera Bello","Jordan Spieth","Henrik Stenson","Bubba Watson","Dustin Johnson","Zach Johnson",274
"Big Daddy","Bubba Watson","Rory McIlroy","Jason Day","Jordan Spieth","Adam Scott","Dustin Johnson",277
"Big Delicious ","Rory McIlroy","Adam Scott","Dustin Johnson","Rickie Fowler","Jason Day","Jordan Spieth",279
"Big Shooter","Brooks Koepka","Adam Scott","Jason Day","Danny Willett","Bubba Watson","Rickie Fowler",274
"billymo1","Jason Day","Bubba Watson","Adam Scott","Jordan Spieth","Phil Mickelson","Rory McIlroy",274
"billymo2","Rory McIlroy","Louis Oosthuizen","Rafael Cabrera Bello","Patrick Reed","Dustin Johnson","Jordan Spieth",272
"billymo3","Zach Johnson","Hideki Matsuyama","Chris Kirk","Jason Day","Jordan Spieth","Adam Scott",274
"Biscuit Boys","Adam Scott","Rickie Fowler","Bubba Watson","Henrik Stenson","Charl Schwartzel","Phil Mickelson",272
"BOBBY J","Jason Day","Jordan Spieth","Adam Scott","Rickie Fowler","Henrik Stenson","Dustin Johnson",274
"Boom Boom","Bubba Watson","Louis Oosthuizen","Rory McIlroy","Jason Day","Dustin Johnson","Adam Scott",275
"Boomer","Bubba Watson","Jason Day","Jordan Spieth","Henrik Stenson","Adam Scott","Phil Mickelson",279
"bptacek","Bubba Watson","Louis Oosthuizen","Jason Day","Justin Rose","Jordan Spieth","Rickie Fowler",271
"Breeze34 #1","Jason Day","Rory McIlroy","Jordan Spieth","Dustin Johnson","Phil Mickelson","Matt Kuchar",276
"Breeze34 #2","Jason Day","Rory McIlroy","Jordan Spieth","Henrik Stenson","Dustin Johnson","Adam Scott",276
